scenario,plan,seats,model,ai_util,revenue,platform,runner,ai,stripe,support,cogs,gp,gm_pct
Team $29/seat x1 (expected),team,1,sonnet,0.2,29.0,3.4,0.23,34.72,1.14,0,39.48,-10.48,-36.1
Team $29/seat x5 (expected),team,5,sonnet,0.2,145.0,3.4,0.23,34.72,4.5,0,42.85,102.15,70.5
Team $29/seat x1 (WORST opus),team,1,opus,1.0,29.0,3.4,0.23,289.29,1.14,0,294.06,-265.06,-914.0
Team $29/seat x5 (WORST opus),team,5,opus,1.0,145.0,3.4,0.23,289.29,4.5,0,297.42,-152.42,-105.1
Team $29/seat x10 (best),team,10,sonnet,0.05,290.0,3.4,0.23,8.68,8.71,0,21.01,268.99,92.8
Team $299 flat (expected),team,1,sonnet,0.2,299.0,3.4,0.23,34.72,8.97,0,47.31,251.69,84.2
Team $299 flat (WORST opus),team,1,opus,1.0,299.0,3.4,0.23,289.29,8.97,0,301.89,-2.89,-1.0
Business (expected),business,1,sonnet,0.2,999.0,3.4,2.25,173.58,29.27,5,213.5,785.5,78.6
Business (WORST opus),business,1,opus,1.0,999.0,3.4,2.25,1446.46,29.27,5,1486.38,-487.38,-48.8
Business (best),business,1,sonnet,0.05,999.0,3.4,2.25,43.39,29.27,5,83.31,915.69,91.7
Enterprise (expected),enterprise,1,sonnet,0.2,2500.0,2.1,7.5,694.3,25.0,30,758.9,1741.1,69.6
Enterprise (WORST opus),enterprise,1,opus,1.0,2500.0,2.1,7.5,5785.85,25.0,30,5850.45,-3350.45,-134.0
Enterprise (best),enterprise,1,sonnet,0.05,2500.0,2.1,7.5,173.58,25.0,30,238.18,2261.82,90.5
